Línea 233: IDENTIFICADOR -> str2
Línea 233: IGUAL -> =
Línea 233: CADENA -> "mundo"
Línea 233: PUNTOCOMA -> ;
Línea 234: VARIABLE -> let
Línea 234: IDENTIFICADOR -> prod
Línea 234: IGUAL -> =
Línea 234: IDENTIFICADOR -> str1
Línea 234: MULT -> *
Línea 234: IDENTIFICADOR -> str2
Línea 234: PUNTOCOMA -> ;
Línea 235: LLAVE_DER -> }
Línea 238: FUNCION -> fn
Línea 238: IDENTIFICADOR -> division_bool
Línea 238: PAREN_IZQ -> (
Línea 238: PAREN_DER -> )
Línea 238: LLAVE_IZQ -> {
Línea 239: VARIABLE -> let
Línea 239: IDENTIFICADOR -> a
Línea 239: IGUAL -> =
Línea 239: VERDAD -> true
Línea 239: PUNTOCOMA -> ;
Línea 240: VARIABLE -> let
Línea 240: IDENTIFICADOR -> b
Línea 240: IGUAL -> =
Línea 240: FALSO -> false
Línea 240: PUNTOCOMA -> ;
Línea 241: VARIABLE -> let
Línea 241: IDENTIFICADOR -> c
Línea 241: IGUAL -> =
Línea 241: IDENTIFICADOR -> a
Línea 241: DIV -> /
Línea 241: IDENTIFICADOR -> b
Línea 241: PUNTOCOMA -> ;
Línea 242: LLAVE_DER -> }
Línea 245: FUNCION -> fn
Línea 245: IDENTIFICADOR -> funcion_inexistente
Línea 245: PAREN_IZQ -> (
Línea 245: PAREN_DER -> )
Línea 245: LLAVE_IZQ -> {
Línea 246: VARIABLE -> let
Línea 246: IDENTIFICADOR -> resultado
Línea 246: IGUAL -> =
Línea 246: IDENTIFICADOR -> funcion_que_no_existe
Línea 246: PAREN_IZQ -> (
Línea 246: PAREN_DER -> )
Línea 246: PUNTOCOMA -> ;
Línea 247: LLAVE_DER -> }
Línea 250: FUNCION -> fn
Línea 250: IDENTIFICADOR -> calcular
Línea 250: PAREN_IZQ -> (
Línea 250: PAREN_DER -> )
Línea 250: FLECHA -> ->
Línea 250: I32 -> i32
Línea 250: LLAVE_IZQ -> {
Línea 251: ENTERO -> 42
Línea 252: LLAVE_DER -> }
Línea 253: FUNCION -> fn
Línea 253: IDENTIFICADOR -> calcular
Línea 253: PAREN_IZQ -> (
Línea 253: PAREN_DER -> )
Línea 253: FLECHA -> ->
Línea 253: I32 -> i32
Línea 253: LLAVE_IZQ -> {
Línea 254: ENTERO -> 50
Línea 255: LLAVE_DER -> }
Línea 258: FUNCION -> fn
Línea 258: IDENTIFICADOR -> tipo_explicito_incorrecto
Línea 258: PAREN_IZQ -> (
Línea 258: PAREN_DER -> )
Línea 258: LLAVE_IZQ -> {
Línea 259: VARIABLE -> let
Línea 259: IDENTIFICADOR -> numero
Línea 259: DOSPUNTOS -> :
Línea 259: I32 -> i32
Línea 259: IGUAL -> =
Línea 259: CADENA -> "texto"
Línea 259: PUNTOCOMA -> ;
Línea 260: LLAVE_DER -> }
Línea 263: FUNCION -> fn
Línea 263: IDENTIFICADOR -> constante_tipo_mal
Línea 263: PAREN_IZQ -> (
Línea 263: PAREN_DER -> )
Línea 263: LLAVE_IZQ -> {
Línea 264: CONSTANTE -> const
Línea 264: IDENTIFICADOR -> VALOR
Línea 264: DOSPUNTOS -> :
Línea 264: U32 -> u32
Línea 264: IGUAL -> =
Línea 264: CADENA -> "cadena"
Línea 264: PUNTOCOMA -> ;
Línea 265: LLAVE_DER -> }
Línea 268: FUNCION -> fn
Línea 268: IDENTIFICADOR -> declaracion_tipo_incompatible
Línea 268: PAREN_IZQ -> (
Línea 268: PAREN_DER -> )
Línea 268: LLAVE_IZQ -> {
Línea 269: VARIABLE -> let
Línea 269: IDENTIFICADOR -> edad
Línea 269: DOSPUNTOS -> :
Línea 269: U32 -> u32
